iter	Passed	Remaining
0	6	6600
1	14	7087
2	19	6588
3	26	6570
4	33	6628
5	38	6448
6	44	6340
7	51	6329
8	57	6362
9	65	6440
10	70	6379
11	78	6488
12	84	6404
13	90	6389
14	98	6471
15	105	6458
16	112	6478
17	117	6407
18	125	6475
19	131	6419
20	136	6375
21	142	6344
22	148	6291
23	155	6318
24	161	6307
25	167	6277
26	175	6308
27	180	6277
28	189	6353
29	196	6362
30	204	6377
31	210	6363
32	216	6346
33	223	6353
34	229	6316
35	236	6327
36	241	6293
37	247	6261
38	255	6289
39	260	6252
40	267	6261
41	273	6248
42	280	6235
43	287	6239
44	292	6207
45	298	6195
46	306	6213
47	312	6206
48	319	6201
49	325	6177
50	331	6164
51	338	6163
52	345	6169
53	351	6164
54	357	6146
55	365	6156
56	370	6130
57	377	6135
58	384	6127
59	390	6117
60	398	6132
61	404	6115
62	411	6115
63	417	6103
64	423	6098
65	430	6090
66	435	6068
67	443	6075
68	449	6060
69	455	6048
70	462	6045
71	470	6059
72	477	6062
73	482	6041
74	489	6041
75	496	6037
76	502	6024
77	510	6028
78	516	6019
79	522	6010
80	528	5999
81	534	5989
82	542	5992
83	547	5973
84	555	5974
85	560	5960
86	567	5956
87	574	5955
88	580	5939
89	587	5944
90	593	5927
91	600	5923
92	606	5917
93	612	5899
94	618	5894
95	625	5890
96	632	5887
97	638	5877
98	646	5883
99	653	5885
100	661	5890
101	669	5890
102	674	5875
103	680	5863
104	688	5871
105	694	5857
106	701	5853
107	706	5838
108	713	5836
109	722	5843
110	730	5853
111	737	5844
112	743	5834
113	750	5833
114	756	5818
115	763	5815
116	769	5809
117	777	5808
118	783	5800
119	789	5787
120	796	5784
121	801	5767
122	807	5756
123	816	5764
124	822	5757
125	829	5755
126	835	5740
127	842	5737
128	848	5728
129	854	5719
130	861	5714
131	866	5699
132	874	5701
133	881	5694
134	887	5689
135	895	5687
136	902	5683
137	910	5686
138	916	5676
139	923	5673
140	929	5660
141	935	5650
142	942	5648
143	949	5644
144	957	5647
145	963	5633
146	970	5633
147	976	5622
148	982	5612
149	989	5608
150	995	5595
151	1002	5592
152	1008	5585
153	1014	5575
154	1022	5572
155	1028	5562
156	1037	5569
157	1043	5558
158	1051	5559
159	1056	5549
160	1064	5545
161	1070	5539
162	1076	5528
163	1082	5520
164	1088	5510
165	1096	5507
166	1102	5500
167	1108	5489
168	1115	5483
169	1122	5479
170	1129	5475
171	1136	5469
172	1142	5462
173	1149	5458
174	1155	5445
175	1162	5444
176	1169	5435
177	1174	5425
178	1181	5420
179	1186	5407
180	1193	5399
181	1199	5393
182	1206	5384
183	1213	5380
184	1218	5367
185	1224	5358
186	1231	5353
187	1238	5348
188	1245	5344
189	1250	5330
190	1258	5330
191	1264	5322
192	1272	5319
193	1278	5312
194	1285	5308
195	1293	5305
196	1298	5293
197	1306	5292
198	1312	5284
199	1318	5275
200	1326	5272
201	1333	5268
202	1340	5262
203	1345	5251
204	1352	5246
205	1359	5239
206	1364	5227
207	1371	5222
208	1377	5211
209	1383	5205
210	1390	5199
211	1396	5189
212	1403	5187
213	1409	5176
214	1415	5168
215	1423	5165
216	1431	5164
217	1438	5160
218	1444	5150
219	1451	5146
220	1457	5136
221	1463	5129
222	1470	5122
223	1475	5110
224	1481	5102
225	1487	5095
226	1494	5088
227	1501	5083
228	1506	5073
229	1513	5067
230	1519	5058
231	1527	5054
232	1535	5055
233	1542	5049
234	1549	5043
235	1555	5034
236	1561	5026
237	1567	5019
238	1575	5015
239	1581	5008
240	1587	4998
241	1594	4993
242	1602	4992
243	1609	4985
244	1616	4981
245	1623	4975
246	1634	4983
247	1646	4992
248	1653	4987
249	1661	4985
250	1667	4976
251	1674	4970
252	1681	4963
253	1687	4955
254	1695	4953
255	1702	4947
256	1710	4943
257	1716	4935
258	1722	4928
259	1728	4920
260	1736	4917
261	1744	4915
262	1751	4908
263	1757	4900
264	1763	4892
265	1770	4884
266	1776	4878
267	1784	4873
268	1790	4866
269	1796	4856
270	1802	4848
271	1810	4844
272	1816	4837
273	1823	4831
274	1829	4822
275	1836	4817
276	1841	4807
277	1847	4799
278	1855	4795
279	1861	4787
280	1868	4780
281	1874	4771
282	1881	4767
283	1888	4760
284	1894	4751
285	1901	4746
286	1907	4738
287	1916	4737
288	1923	4731
289	1930	4725
290	1936	4716
291	1942	4708
292	1948	4702
293	1954	4694
294	1960	4686
295	1967	4679
296	1974	4674
297	1981	4668
298	1988	4661
299	1995	4655
300	2002	4649
301	2008	4643
302	2015	4636
303	2021	4627
304	2028	4622
305	2034	4614
306	2041	4608
307	2048	4602
308	2054	4595
309	2062	4590
310	2069	4584
311	2077	4581
312	2082	4571
313	2089	4564
314	2096	4558
315	2102	4551
316	2109	4544
317	2115	4536
318	2122	4530
319	2128	4522
320	2134	4515
321	2141	4508
322	2146	4499
323	2153	4493
324	2160	4486
325	2167	4481
326	2173	4474
327	2179	4465
328	2186	4459
329	2192	4450
330	2198	4442
331	2205	4436
332	2211	4428
333	2217	4421
334	2224	4414
335	2230	4407
336	2236	4400
337	2242	4392
338	2249	4386
339	2256	4379
340	2262	4371
341	2270	4367
342	2276	4359
343	2282	4353
344	2288	4345
345	2295	4338
346	2303	4335
347	2311	4330
348	2318	4324
349	2325	4317
350	2331	4311
351	2337	4302
352	2343	4294
353	2349	4288
354	2356	4281
355	2364	4276
356	2370	4269
357	2376	4262
358	2383	4255
359	2390	4249
360	2397	4243
361	2404	4238
362	2411	4231
363	2416	4222
364	2423	4215
365	2429	4208
366	2435	4200
367	2441	4193
368	2447	4185
369	2453	4178
370	2461	4172
371	2467	4166
372	2474	4159
373	2480	4151
374	2486	4144
375	2493	4137
376	2499	4129
377	2505	4123
378	2511	4114
379	2517	4107
380	2524	4100
381	2529	4092
382	2535	4084
383	2542	4078
384	2549	4073
385	2556	4066
386	2562	4058
387	2569	4052
388	2575	4045
389	2582	4039
390	2589	4033
391	2596	4027
392	2602	4020
393	2608	4012
394	2619	4012
395	2626	4005
396	2631	3997
397	2638	3990
398	2645	3984
399	2651	3977
400	2657	3969
401	2664	3964
402	2672	3958
403	2678	3951
404	2685	3945
405	2692	3939
406	2700	3934
407	2706	3927
408	2714	3922
409	2720	3914
410	2726	3907
411	2733	3901
412	2740	3895
413	2749	3891
414	2756	3886
415	2763	3880
416	2770	3872
417	2777	3867
418	2783	3859
419	2790	3854
420	2797	3846
421	2803	3840
422	2809	3832
423	2815	3824
424	2821	3817
425	2828	3811
426	2835	3805
427	2842	3798
428	2848	3790
429	2853	3783
430	2861	3777
431	2867	3770
432	2875	3765
433	2881	3758
434	2888	3752
435	2895	3745
436	2901	3738
437	2908	3731
438	2914	3724
439	2921	3717
440	2929	3713
441	2936	3707
442	2943	3700
443	2949	3693
444	2957	3688
445	2963	3680
446	2970	3675
447	2976	3667
448	2983	3661
449	2991	3656
450	2999	3651
451	3005	3644
452	3012	3637
453	3018	3630
454	3024	3622
455	3030	3615
456	3037	3608
457	3043	3601
458	3050	3595
459	3058	3589
460	3066	3584
461	3073	3579
462	3080	3572
463	3087	3566
464	3095	3561
465	3101	3554
466	3110	3549
467	3116	3542
468	3123	3536
469	3129	3528
470	3135	3521
471	3141	3514
472	3148	3507
473	3154	3500
474	3160	3493
475	3166	3485
476	3172	3478
477	3180	3473
478	3187	3466
479	3192	3459
480	3198	3451
481	3205	3444
482	3211	3437
483	3218	3431
484	3227	3427
485	3234	3421
486	3241	3414
487	3247	3407
488	3254	3401
489	3261	3394
490	3267	3386
491	3275	3381
492	3280	3373
493	3287	3367
494	3294	3360
495	3300	3354
496	3307	3347
497	3313	3340
498	3320	3333
499	3326	3326
500	3332	3318
501	3340	3313
502	3346	3306
503	3352	3299
504	3358	3292
505	3365	3285
506	3371	3278
507	3377	3271
508	3385	3265
509	3391	3258
510	3398	3251
511	3404	3244
512	3426	3252
513	3433	3246
514	3439	3239
515	3446	3232
516	3452	3225
517	3460	3219
518	3466	3212
519	3473	3206
520	3481	3200
521	3487	3193
522	3493	3186
523	3500	3180
524	3507	3173
525	3513	3166
526	3520	3159
527	3526	3152
528	3533	3146
529	3540	3139
530	3547	3133
531	3554	3126
532	3560	3119
533	3566	3112
534	3573	3105
535	3579	3098
536	3585	3091
537	3594	3086
538	3603	3082
539	3610	3075
540	3616	3068
541	3623	3061
542	3629	3054
543	3636	3048
544	3643	3041
545	3648	3033
546	3654	3026
547	3661	3019
548	3667	3012
549	3672	3005
550	3678	2997
551	3685	2991
552	3692	2984
553	3699	2978
554	3709	2974
555	3716	2967
556	3723	2961
557	3730	2954
558	3737	2948
559	3744	2941
560	3750	2935
561	3757	2928
562	3765	2922
563	3772	2916
564	3778	2909
565	3785	2902
566	3792	2895
567	3799	2889
568	3806	2883
569	3813	2877
570	3820	2870
571	3826	2863
572	3834	2857
573	3841	2850
574	3847	2843
575	3853	2836
576	3860	2830
577	3866	2822
578	3873	2816
579	3879	2809
580	3886	2802
581	3893	2796
582	3901	2790
583	3907	2783
584	3913	2775
585	3919	2769
586	3927	2762
587	3934	2756
588	3940	2749
589	3946	2742
590	3952	2735
591	3958	2728
592	3965	2721
593	3972	2715
594	3977	2707
595	3983	2700
596	3989	2693
597	3996	2686
598	4002	2679
599	4009	2672
600	4015	2665
601	4022	2659
602	4029	2652
603	4035	2645
604	4040	2638
605	4047	2631
606	4053	2624
607	4060	2617
608	4066	2611
609	4072	2603
610	4078	2596
611	4084	2589
612	4090	2582
613	4096	2575
614	4104	2569
615	4110	2562
616	4116	2555
617	4122	2548
618	4130	2542
619	4136	2534
620	4143	2528
621	4150	2522
622	4156	2515
623	4163	2508
624	4168	2501
625	4175	2494
626	4182	2488
627	4188	2481
628	4195	2474
629	4202	2467
630	4208	2461
631	4216	2455
632	4222	2448
633	4228	2441
634	4235	2434
635	4241	2427
636	4247	2420
637	4253	2413
638	4260	2407
639	4266	2400
640	4273	2393
641	4280	2386
642	4286	2379
643	4291	2372
644	4299	2366
645	4306	2359
646	4313	2353
647	4319	2346
648	4325	2339
649	4331	2332
650	4339	2326
651	4345	2319
652	4351	2312
653	4357	2305
654	4364	2298
655	4371	2292
656	4377	2285
657	4384	2278
658	4390	2271
659	4397	2265
660	4403	2258
661	4411	2252
662	4417	2245
663	4423	2238
664	4430	2231
665	4437	2225
666	4444	2218
667	4450	2211
668	4455	2204
669	4462	2198
670	4469	2191
671	4475	2184
672	4483	2178
673	4489	2171
674	4495	2164
675	4503	2158
676	4509	2151
677	4516	2144
678	4522	2137
679	4528	2130
680	4534	2123
681	4540	2117
682	4546	2110
683	4553	2103
684	4559	2096
685	4565	2089
686	4571	2082
687	4581	2077
688	4587	2070
689	4595	2064
690	4602	2058
691	4608	2051
692	4616	2045
693	4623	2038
694	4629	2031
695	4636	2025
696	4643	2018
697	4648	2011
698	4655	2004
699	4662	1998
700	4670	1991
701	4676	1985
702	4685	1979
703	4692	1972
704	4699	1966
705	4705	1959
706	4712	1952
707	4718	1946
708	4725	1939
709	4731	1932
710	4737	1925
711	4743	1918
712	4750	1912
713	4755	1905
714	4762	1898
715	4768	1891
716	4774	1884
717	4782	1878
718	4788	1871
719	4795	1864
720	4801	1858
721	4809	1851
722	4815	1844
723	4822	1838
724	4829	1831
725	4836	1825
726	4843	1818
727	4850	1812
728	4856	1805
729	4862	1798
730	4870	1792
731	4877	1785
732	4883	1778
733	4889	1771
734	4896	1765
735	4901	1758
736	4908	1751
737	4915	1745
738	4923	1738
739	4931	1732
740	4937	1725
741	4944	1719
742	4949	1712
743	4956	1705
744	4963	1698
745	4969	1692
746	4976	1685
747	4981	1678
748	4988	1671
749	4993	1664
750	4999	1657
751	5006	1650
752	5012	1644
753	5019	1637
754	5025	1630
755	5032	1624
756	5039	1617
757	5045	1610
758	5052	1604
759	5059	1597
760	5066	1591
761	5073	1584
762	5078	1577
763	5085	1570
764	5091	1564
765	5097	1557
766	5106	1551
767	5112	1544
768	5119	1537
769	5124	1530
770	5131	1524
771	5138	1517
772	5146	1511
773	5153	1504
774	5159	1497
775	5167	1491
776	5173	1484
777	5180	1478
778	5186	1471
779	5193	1464
780	5199	1458
781	5205	1451
782	5211	1444
783	5217	1437
784	5224	1430
785	5230	1423
786	5237	1417
787	5244	1411
788	5250	1404
789	5257	1397
790	5263	1390
791	5271	1384
792	5277	1377
793	5283	1370
794	5289	1364
795	5296	1357
796	5302	1350
797	5308	1343
798	5314	1336
799	5320	1330
800	5327	1323
801	5333	1316
802	5339	1310
803	5347	1303
804	5354	1297
805	5360	1290
806	5366	1283
807	5374	1277
808	5379	1270
809	5386	1263
810	5393	1256
811	5398	1250
812	5406	1243
813	5411	1236
814	5418	1230
815	5424	1223
816	5430	1216
817	5439	1210
818	5448	1204
819	5455	1197
820	5460	1190
821	5467	1183
822	5473	1177
823	5480	1170
824	5487	1164
825	5492	1157
826	5499	1150
827	5505	1143
